Pipe NPS,Actual Outside Diameter (in),Pipe Schedule,Wall Thickness (in),Weight (lb/ft),Weight (kg/m)
18,18,80,0.938,171,254.476
,,,,,
18,18,--,1,182,270.846
,,,,,
18,18,--,1.125,203,302.097
,,,,,
18,18,100,1.156,208,309.538
,,,,,
18,18,--,1.25,224,333.349
,,,,,
18,18,120,1.375,244,363.112
,,,,,
18,18,--,1.5,265,394.363
,,,,,
18,18,140,1.562,275,409.245
,,,,,
18,18,160,1.781,309,459.843
,,,,,
 , , , , , 
,,,,,
20,20,10 Ga.,0.134,28,41.669
,,,,,
20,20,8 Ga.,0.164,35,52.086
,,,,,
20,20,6 Ga.,0.194,41,61.015
,,,,,
20,20,3 Ga.,0.239,50,74.408
,,,,,
20,20,10,0.25,53,78.873
,,,,,
20,20,API,0.281,59,87.802
,,,,,
20,20,API,0.312,66,98.219
,,,,,
20,20,API,0.344,72,107.148
,,,,,
20,20,Std.,0.375,79,117.565
,,,,,
20,20,API,0.406,85,126.494
,,,,,
20,20,API,0.438,92,136.911
,,,,,
20,20,X-Stg.,0.5,105,156.257
,,,,,
20,20,40,0.594,123,183.044
,,,,,
20,20,--,0.625,129,191.973
,,,,,
20,20,60,0.812,167,248.523
,,,,,
20,20,--,0.875,179,266.381
,,,,,
20,20,--,1,203,302.097
,,,,,
20,20,80,1.031,209,311.026
,,,,,
20,20,--,1.125,227,337.813
,,,,,
20,20,--,1.25,250,372.041
,,,,,
20,20,100,1.281,256,380.97
,,,,,
20,20,--,1.375,274,407.757
,,,,,
20,20,120,1.5,297,441.985
,,,,,
20,20,140,1.75,342,508.952
,,,,,
20,20,160,1.969,379,564.014
,,,,,
, , , , ,
,,,,,
22,22,8 Ga.,0.164,38,56.55
,,,,,
22,22,6 Ga.,0.194,45,66.967
,,,,,
22,22,3 Ga.,0.239,56,83.337
,,,,,
22,22,API,0.25,58,86.314
,,,,,
22,22,API,0.281,65,96.731
,,,,,
22,22,API,0.312,72,107.148
,,,,,
22,22,API,0.344,80,119.053
,,,,,
22,22,API,0.375,87,129.47
,,,,,
22,22,API,0.406,94,139.887
,,,,,
22,22,API,0.438,101,150.305
,,,,,
22,22,API,0.5,115,171.139
,,,,,
22,22,--,0.625,143,212.807
,,,,,
22,22,--,0.75,170,252.988
,,,,,
22,22,--,0.875,198,294.656
,,,,,
22,22,--,1,224,333.349
,,,,,
22,22,--,1.125,251,373.529
,,,,,
22,22,--,1.25,277,412.221
,,,,,
22,22,--,1.375,303,450.914
,,,,,
22,22,--,1.5,329,489.606
,,,,,
 , , , , ,
,,,,,
